id;sku;dealer_price;available_stock
34678;D-220570;8.32;0
34679;D-220760;8.61;0
34681;D-221064;16.93;0
34684;D-222097;4.36;2
34685;D-222275;7.14;2
34686;D-222318;7.14;10
34687;D-222401;;0
34693;D-223126;;0
34695;D-223197;6.68;50
34704;D-223567;;0
34705;D-224962;12.06;4
34706;D-224963;10.41;5
34709;D-225572;7.14;6
34716;D-227138;6.83;28
34717;D-227382;7.14;3
34718;D-227393;7.14;0
34719;D-227404;;0
34720;D-227559;25.50;50
34721;D-227702;;0
34722;D-228125;;0
34733;D51-TE02CAR;17.49;0
34734;D55-22808;4.23;50
34736;PD3361-23;15.65;0
34740;PD3805-00;5.20;16
34743;1653 BLACK;6.65;3
34744;D-10000;87.75;6
34749;D-194282;6.85;50
34750;D-194503;1.21;0
34751;D-195205;;0
34753;D-197946;5.00;43
34754;D-201650;5.72;28
34755;D-201720;3.46;0
34757;D-203260;5.18;50
34759;D-205186;2.91;0
34760;D-207301;9.48;50
34761;D-207425;9.86;22
34764;D-209290;2.83;26
34766;D-210379;3.01;38
34771;D-212423;13.33;12
34774;D-213983;5.32;26
34775;D-213989;4.42;50
34776;D-214794;16.51;2
34778;D-215542;5.90;40
34779;D-215810;12.48;0
34781;D-215817;5.18;0
34782;D-215821;5.64;7
34783;D-216230;5.98;6
34784;D-216573;6.10;0
34786;D-218438;11.97;31
34791;D-219499;;0
34793;D-220110;9.40;50
34796;D-220317;5.12;6
34797;D-220319;5.66;0
34799;D-220410;10.98;26
34800;D-220714;7.81;1
34801;D-220785;9.73;0
